Kernel函数名称,kernel类型,kernel来源,模型热度得分,复用度得分,核心程度得分,测试缺失度得分,技术复杂度得分,加权总分,调整加成,最终总分,优先级等级,使用的模型列表,共享算子/模块列表,Kernel源码路径,Kernel行号
chunk_dplr_fwd_kernel_h,cv/cube,核心算子,0,1,5,3,4,1.85,0.0,1.85,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/chunk_h_fwd.py,34
_parallel_based_bwd_dkv,cv/cube,核心算子,0,1,4,4,5,1.8,0.0,1.8,P3,,Based,fla/ops/based/parallel.py,187
logcumsumexp_fwd_kernel,cv/cube,共享模块,1,1,3,5,3,1.8,0.0,1.8,P3,ABC,abc,fla/ops/utils/logcumsumexp.py,24
fused_chunk_based_bwd_kernel,cv/cube,核心算子,0,1,4,4,5,1.8,0.0,1.8,P3,,Based,fla/ops/based/fused_chunk.py,113
_parallel_based_bwd_dq,cv/cube,核心算子,0,1,4,4,5,1.8,0.0,1.8,P3,,Based,fla/ops/based/parallel.py,104
chunk_oja_bwd_kernel_dvwg_h,cv/cube,核心算子,0,1,4,3,5,1.75,0.0,1.75,P3,,GatedOjaRule,fla/ops/gated_oja_rule/chunk_h.py,663
recompute_w_u_fwd_kernel,cv/cube,核心算子,0,1,5,1,4,1.75,0.0,1.75,P3,,GatedOjaRule,fla/ops/gated_oja_rule/wy_fast.py,29
fused_recurrent_oja_fwd_kernel,vv,核心算子,0,1,5,3,3,1.75,0.0,1.75,P3,,GatedOjaRule,fla/ops/gated_oja_rule/fused_recurrent.py,22
chunk_ttt_linear_bwd_kernel_norm,cv/cube,核心算子,0,1,4,3,5,1.75,0.0,1.75,P3,,TTT,fla/ops/ttt/chunk.py,409
wu_fwd_kernel,cv/cube,核心算子,0,1,5,3,3,1.75,0.0,1.75,P3,,IPLR,fla/ops/generalized_delta_rule/iplr/wy_fast.py,165
chunk_dplr_bwd_kernel_intra_tensorcore,cv/cube,核心算子,0,1,4,3,5,1.75,0.0,1.75,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,237
prepare_wy_repr_fwd_kernel_chunk32,cv/cube,核心算子,0,1,5,3,3,1.75,0.0,1.75,P3,,IPLR,fla/ops/generalized_delta_rule/iplr/wy_fast.py,29
fused_recurrent_dplr_delta_rule_fwd_kernel,vv,核心算子,0,1,5,3,3,1.75,0.0,1.75,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/fused_recurrent.py,32
chunk_dplr_bwd_o_kernel,cv/cube,核心算子,0,1,4,3,5,1.75,0.0,1.75,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,107
fused_chunk_ttt_linear_bwd_kernel_dh,cv/cube,核心算子,0,1,4,3,5,1.75,0.0,1.75,P3,,TTT,fla/ops/ttt/fused_chunk.py,278
chunk_ttt_linear_bwd_kernel_h,cv/cube,核心算子,0,1,4,3,5,1.75,0.0,1.75,P3,,TTT,fla/ops/ttt/chunk.py,232
fused_chunk_ttt_linear_bwd_kernel_h,cv/cube,核心算子,0,1,4,3,5,1.75,0.0,1.75,P3,,TTT,fla/ops/ttt/fused_chunk.py,158
chunk_bwd_kernel_dqke,cv/cube,核心算子,0,1,4,3,5,1.75,0.0,1.75,P3,,TTT,fla/ops/ttt/chunk.py,567
chunk_oja_bwd_kernel_dhu_blockdim64,cv/cube,核心算子,0,1,4,3,5,1.75,0.0,1.75,P3,,GatedOjaRule,fla/ops/gated_oja_rule/chunk_h.py,264
chunk_scaled_dot_kkt_bwd_kernel_gk,cv/cube,核心算子,0,1,4,3,5,1.75,0.0,1.75,P3,,GatedOjaRule,fla/ops/gated_oja_rule/chunk_kkt.py,230
chunk_dplr_fwd_A_kernel_intra_tensorcore,cv/cube,核心算子,0,1,4,3,5,1.75,0.0,1.75,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/chunk_A_fwd.py,159
chunk_gsa_bwd_k_kernel_dqkvg,cv/cube,核心算子,0,1,4,2,5,1.7,0.0,1.7,P3,,GatedOjaRule,fla/ops/gated_oja_rule/chunk_h.py,527
prepare_wy_repr_fwd_kernel_chunk32,vv,核心算子,0,1,5,3,2,1.65,0.0,1.65,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,29
chunk_oja_bwd_kernel_dqk,cv/cube,核心算子,0,1,4,3,4,1.65,0.0,1.65,P3,,GatedOjaRule,fla/ops/gated_oja_rule/chunk_o.py,404
fused_recurrent_fwd_kernel,vv,核心算子,0,1,5,1,3,1.65,0.0,1.65,P3,,IPLR,fla/ops/generalized_delta_rule/iplr/fused_recurrent.py,30
chunk_dplr_bwd_kernel_dhu,cv/cube,核心算子,0,1,4,3,4,1.65,0.0,1.65,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/chunk_h_bwd.py,34
chunk_oja_fwd_inter,cv/cube,核心算子,0,1,4,3,4,1.65,0.0,1.65,P3,,GatedOjaRule,fla/ops/gated_oja_rule/chunk_o.py,33
chunk_scaled_dot_kkt_fwd_kernel,cv/cube,核心算子,0,1,5,1,3,1.65,0.0,1.65,P3,,GatedOjaRule,fla/ops/gated_oja_rule/chunk_kkt.py,29
chunk_oja_bwd_kernel_dA,cv/cube,核心算子,0,1,4,3,4,1.65,0.0,1.65,P3,,GatedOjaRule,fla/ops/gated_oja_rule/chunk_o.py,262
chunk_dplr_bwd_kernel_dv,cv/cube,核心算子,0,1,4,3,4,1.65,0.0,1.65,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,237
chunk_oja_bwd_kernel_dv_o,cv/cube,核心算子,0,1,4,3,4,1.65,0.0,1.65,P3,,GatedOjaRule,fla/ops/gated_oja_rule/chunk_o.py,542
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,0,1,4,1,5,1.65,0.0,1.65,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/wy_fast_bwd.py,32
chunk_dplr_bwd_kernel_dAu,cv/cube,核心算子,0,1,4,3,4,1.65,0.0,1.65,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,34
chunk_scaled_dot_kkt_fwd_kernel_intra_sub_inter,cv/cube,核心算子,0,1,4,3,4,1.65,0.0,1.65,P3,,GatedOjaRule,fla/ops/gated_oja_rule/chunk_kkt.py,90
chunk_ttt_linear_bwd_kernel_dv_local,cv/cube,核心算子,0,1,4,3,4,1.65,0.0,1.65,P3,,TTT,fla/ops/ttt/chunk.py,334
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,0,1,4,1,5,1.65,0.0,1.65,P3,,GatedOjaRule,fla/ops/gated_oja_rule/wy_fast.py,108
chunk_oja_fwd_intra,cv/cube,核心算子,0,1,4,3,4,1.65,0.0,1.65,P3,,GatedOjaRule,fla/ops/gated_oja_rule/chunk_o.py,107
parallel_rebased_bwd_kernel,vv,核心算子,0,1,4,5,3,1.65,0.0,1.65,P3,,Rebased,fla/ops/rebased/parallel.py,273
chunk_dplr_bwd_dgk_kernel,cv/cube,核心算子,0,1,4,3,4,1.65,0.0,1.65,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,407
chunk_dplr_bwd_kernel_intra,vv,核心算子,0,1,4,3,3,1.55,0.0,1.55,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,32
chunk_dplr_fwd_A_kernel_intra_sub_intra,vv,核心算子,0,1,4,3,3,1.55,0.0,1.55,P3,,DPLR,fla/ops/generalized_delta_rule/dplr/chunk_A_fwd.py,32
matmul_kernel,cv/cube,共享模块,0,1,3,5,4,1.55,0.0,1.55,P3,,,fla/ops/utils/matmul.py,52
parallel_based_bwd_kernel,vv,核心算子,0,1,4,4,2,1.5,0.0,1.5,P3,,Based,fla/ops/based/parallel.py,268
fused_recurrent_bwd_kernel,vv,核心算子,0,1,4,1,3,1.45,0.0,1.45,P3,,IPLR,fla/ops/generalized_delta_rule/iplr/fused_recurrent.py,121
fused_chunk_fwd_kernel,cv/cube,共享模块,0,1,3,1,5,1.45,0.0,1.45,P3,,simple_gla,fla/ops/common/fused_chunk.py,44
chunk_scaled_dot_kkt_fwd_kernel_intra_sub_intra,vv,核心算子,0,1,4,3,2,1.45,0.0,1.45,P3,,GatedOjaRule,fla/ops/gated_oja_rule/chunk_kkt.py,166
fused_chunk_bwd_kernel,cv/cube,共享模块,0,1,3,1,5,1.45,0.0,1.45,P3,,simple_gla,fla/ops/common/fused_chunk.py,178
chunk_bwd_kernel_dh_split,cv/cube,共享模块,0,1,3,2,4,1.4,0.0,1.4,P3,,,fla/ops/common/chunk_h_split.py,239
chunk_fwd_kernel_h_parallel,cv/cube,共享模块,0,1,3,2,4,1.4,0.0,1.4,P3,,,fla/ops/common/chunk_h_parallel.py,38
chunk_bwd_kernel_dh_parallel,cv/cube,共享模块,0,1,3,2,4,1.4,0.0,1.4,P3,,,fla/ops/common/chunk_h_parallel.py,239
kl_div_kernel,vv,共享模块,0,1,3,4,3,1.4,0.0,1.4,P3,,fused_kl_div,fla/modules/fused_kl_div.py,25
chunk_fwd_kernel_h_split,cv/cube,共享模块,0,1,3,2,4,1.4,0.0,1.4,P3,,,fla/ops/common/chunk_h_split.py,32
grpo_bwd_kernel,vv,共享模块,0,1,3,4,3,1.4,0.0,1.4,P3,,grpo,fla/modules/grpo.py,155
grpo_fwd_kernel,vv,共享模块,0,1,3,4,3,1.4,0.0,1.4,P3,,grpo,fla/modules/grpo.py,79
chunk_bwd_kernel_dh_reduction,vv,共享模块,0,1,3,2,3,1.3,0.0,1.3,P3,,,fla/ops/common/chunk_h_parallel.py,343
chunk_fwd_kernel_h_reduction,vv,共享模块,0,1,3,2,3,1.3,0.0,1.3,P3,,,fla/ops/common/chunk_h_split.py,152
chunk_fwd_kernel_h_reduction,vv,共享模块,0,1,3,2,3,1.3,0.0,1.3,P3,,,fla/ops/common/chunk_h_parallel.py,153
chunk_bwd_kernel_dh_reduction,vv,共享模块,0,1,3,2,3,1.3,0.0,1.3,P3,,,fla/ops/common/chunk_h_split.py,358
tanh,vv,共享模块,0,1,3,5,1,1.25,0.0,1.25,P3,,,fla/ops/utils/matmul.py,168
fused_recurrent_rwkv4_forward_kernel,vv,核心算子,0,1,2,5,3,1.25,0.0,1.25,P3,,RWKV4,fla/ops/rwkv4/fused_recurrent.py,28
fused_recurrent_rwkv4_backward_kernel,vv,核心算子,0,1,2,5,3,1.25,0.0,1.25,P3,,RWKV4,fla/ops/rwkv4/fused_recurrent.py,179
leaky_relu,vv,共享模块,0,1,3,5,1,1.25,0.0,1.25,P3,,,fla/ops/utils/matmul.py,157
elementwise_mul_kernel,vv,共享模块,0,1,3,3,2,1.25,0.0,1.25,P3,,fused_kl_div,fla/modules/fused_kl_div.py,90
sigmoid,vv,共享模块,0,1,3,5,1,1.25,0.0,1.25,P3,,,fla/ops/utils/matmul.py,162
relu,vv,共享模块,0,1,3,5,1,1.25,0.0,1.25,P3,,,fla/ops/utils/matmul.py,175
logsumexp_fwd_kernel,vv,共享模块,0,1,3,5,1,1.25,0.0,1.25,P3,,,fla/ops/utils/logsumexp.py,27
packunpack_sequence_kernel,vv,共享模块,0,1,3,3,2,1.25,0.0,1.25,P3,,,fla/ops/utils/pack.py,27
